tipo_vivienda;niveles;tipo_contrato;estado;num_habitaciones;num_banos;area_construida;parqueadero;sector;estrato;precio
Casa;1;Venta;Casi nuevo;3;3;194;No;Norte;5;240000000
Casa;3;Venta;Nuevo;4;2;268;Si;Sur;2;170000000
Casa;2;Venta;Nuevo;1;1;227;Si;Centro;4;210000000
Casa;3;Venta;Nuevo;3;1;279;No;Norte;5;260000000
Casa;3;Venta;Casi nuevo;1;1;166;No;Centro;3;180000000
Casa;2;Venta;Casi nuevo;4;1;200;Si;Centro;3;200000000
Casa;3;Venta;Nuevo;2;2;206;No;Norte;4;250000000
Casa;3;Venta;Casi nuevo;1;2;173;No;Norte;5;230000000
Casa;3;Venta;Nuevo;2;3;265;No;Sur;4;160000000
Casa;1;Venta;Casi nuevo;4;1;170;Si;Norte;3;250000000
Casa;3;Venta;Casi nuevo;2;3;262;Si;Centro;3;210000000
Casa;3;Venta;Nuevo;2;2;257;Si;Sur;3;170000000
Casa;2;Venta;Nuevo;3;2;250;Si;Sur;2;170000000
Casa;2;Venta;Casi nuevo;4;2;234;No;Centro;3;200000000
Casa;2;Venta;Casi nuevo;1;3;216;No;Centro;3;190000000
Casa;3;Venta;Nuevo;2;3;205;Si;Norte;5;260000000
Casa;3;Venta;Casi nuevo;2;3;255;Si;Sur;2;160000000
Casa;2;Venta;Nuevo;3;2;224;Si;Sur;1;170000000
Casa;1;Venta;Nuevo;1;1;276;No;Centro;3;200000000
Casa;1;Venta;Nuevo;2;3;213;No;Centro;3;200000000
Casa;1;Venta;Nuevo;3;1;246;No;Centro;4;200000000
Casa;2;Venta;Casi nuevo;4;2;262;Si;Norte;6;260000000
Casa;1;Venta;Nuevo;4;3;240;No;Sur;2;150000000
Casa;3;Venta;Casi nuevo;3;3;153;Si;Norte;6;250000000
Casa;3;Venta;Casi nuevo;4;3;237;No;Norte;4;250000000
Casa;2;Venta;Casi nuevo;2;2;255;Si;Sur;3;160000000
Casa;2;Venta;Casi nuevo;2;2;280;No;Norte;4;250000000
Casa;2;Venta;Nuevo;3;2;258;No;Centro;4;210000000
Casa;2;Venta;Nuevo;2;2;261;Si;Norte;5;270000000
Casa;3;Venta;Nuevo;2;3;237;Si;Norte;3;260000000
Casa;3;Venta;Nuevo;1;2;255;No;Sur;2;150000000
Casa;1;Venta;Casi nuevo;4;1;235;Si;Sur;3;150000000
Casa;3;Venta;Nuevo;2;1;274;Si;Norte;4;270000000
Casa;1;Venta;Nuevo;4;3;195;No;Centro;3;200000000
Casa;2;Venta;Casi nuevo;1;3;160;No;Sur;1;130000000
Casa;2;Venta;Nuevo;4;2;180;Si;Sur;2;160000000
Casa;1;Venta;Nuevo;1;3;170;Si;Centro;3;200000000
Casa;1;Venta;Nuevo;4;1;234;No;Centro;3;200000000
Casa;3;Venta;Nuevo;4;3;194;Si;Norte;5;270000000
Casa;2;Venta;Nuevo;2;2;199;No;Norte;6;250000000
Casa;1;Venta;Nuevo;3;2;268;No;Sur;2;160000000
Casa;1;Venta;Casi nuevo;3;3;250;Si;Sur;1;150000000
Casa;2;Venta;Nuevo;4;3;208;Si;Sur;4;170000000
Casa;3;Venta;Casi nuevo;3;3;151;No;Sur;3;140000000
Casa;2;Venta;Casi nuevo;4;2;180;Si;Norte;6;250000000
Casa;1;Venta;Casi nuevo;2;2;276;Si;Norte;4;250000000
Casa;3;Venta;Casi nuevo;4;3;209;No;Sur;3;150000000
Casa;2;Venta;Casi nuevo;2;1;273;Si;Norte;4;260000000
Casa;1;Venta;Casi nuevo;4;3;209;Si;Norte;3;250000000
Casa;1;Venta;Casi nuevo;4;2;251;Si;Centro;3;200000000
Casa;3;Venta;Casi nuevo;4;2;185;Si;Norte;4;250000000
Casa;1;Venta;Nuevo;4;3;268;No;Norte;4;250000000
Casa;3;Venta;Nuevo;2;3;161;No;Centro;3;200000000
Casa;2;Venta;Nuevo;2;1;178;Si;Norte;3;260000000
Casa;1;Venta;Casi nuevo;3;1;254;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;2;1;244;Si;Sur;2;160000000
Casa;1;Venta;Nuevo;2;2;223;Si;Norte;5;260000000
Casa;2;Venta;Nuevo;4;2;254;Si;Centro;3;220000000
Casa;1;Venta;Casi nuevo;2;1;155;Si;Norte;4;240000000
Casa;1;Venta;Casi nuevo;2;1;238;Si;Sur;4;150000000
Casa;1;Venta;Casi nuevo;2;2;183;No;Centro;3;180000000
Casa;2;Venta;Casi nuevo;1;1;201;Si;Centro;3;200000000
Casa;2;Venta;Casi nuevo;1;3;190;No;Centro;4;180000000
Casa;1;Venta;Casi nuevo;1;1;169;No;Norte;3;230000000
Casa;1;Venta;Casi nuevo;3;2;213;Si;Norte;6;250000000
Casa;1;Venta;Casi nuevo;2;3;215;No;Norte;4;240000000
Casa;3;Venta;Casi nuevo;3;3;184;Si;Sur;1;150000000
Casa;3;Venta;Casi nuevo;3;2;171;Si;Norte;4;250000000
Casa;1;Venta;Casi nuevo;2;2;279;No;Sur;4;150000000
Casa;2;Venta;Casi nuevo;1;3;158;No;Sur;1;140000000
Casa;2;Venta;Casi nuevo;2;3;266;Si;Centro;3;210000000
Casa;1;Venta;Casi nuevo;2;2;167;No;Norte;6;230000000
Casa;1;Venta;Casi nuevo;2;1;220;No;Norte;5;240000000
Casa;2;Venta;Casi nuevo;3;2;261;No;Norte;4;250000000
Casa;3;Venta;Casi nuevo;1;3;180;Si;Centro;4;200000000
Casa;1;Venta;Nuevo;1;2;163;No;Sur;1;140000000
Casa;3;Venta;Nuevo;4;1;276;No;Sur;2;160000000
Casa;1;Venta;Nuevo;4;3;278;Si;Norte;6;260000000
Casa;1;Venta;Casi nuevo;2;1;157;No;Sur;3;130000000
Casa;3;Venta;Nuevo;3;1;238;No;Norte;3;250000000
Casa;1;Venta;Casi nuevo;1;1;254;Si;Centro;4;200000000
Casa;1;Venta;Casi nuevo;1;1;165;Si;Sur;1;140000000
Casa;2;Venta;Casi nuevo;3;3;233;No;Centro;3;190000000
Casa;3;Venta;Nuevo;2;1;179;Si;Sur;1;160000000
Casa;1;Venta;Nuevo;4;2;241;Si;Centro;3;210000000
Casa;1;Venta;Casi nuevo;4;3;253;No;Centro;4;190000000
Casa;1;Venta;Nuevo;1;2;278;Si;Norte;6;260000000
Casa;3;Venta;Nuevo;4;1;182;Si;Sur;2;160000000
Casa;1;Venta;Casi nuevo;3;3;273;No;Centro;4;190000000
Casa;3;Venta;Casi nuevo;2;1;186;No;Sur;1;140000000
Casa;3;Venta;Casi nuevo;4;2;200;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;3;2;238;No;Norte;4;250000000
Casa;3;Venta;Casi nuevo;3;1;256;Si;Norte;6;260000000
Casa;3;Venta;Nuevo;2;1;168;No;Sur;1;150000000
Casa;3;Venta;Nuevo;2;3;250;Si;Sur;2;170000000
Casa;3;Venta;Casi nuevo;1;1;235;Si;Centro;4;210000000
Casa;1;Venta;Nuevo;2;1;216;No;Norte;6;250000000
Casa;1;Venta;Nuevo;1;3;270;Si;Norte;3;260000000
Casa;1;Venta;Casi nuevo;1;3;240;No;Centro;3;190000000
Casa;3;Venta;Casi nuevo;3;3;207;No;Centro;4;190000000
Casa;3;Venta;Casi nuevo;2;1;217;No;Norte;4;250000000
Casa;2;Venta;Nuevo;4;1;175;Si;Norte;5;260000000
Casa;3;Venta;Casi nuevo;3;3;198;Si;Centro;4;200000000
Casa;1;Venta;Casi nuevo;1;2;178;Si;Norte;5;240000000
Casa;3;Venta;Casi nuevo;2;3;245;No;Sur;4;140000000
Casa;2;Venta;Casi nuevo;4;2;151;No;Centro;4;190000000
Casa;1;Venta;Nuevo;4;2;207;Si;Sur;4;150000000
Casa;2;Venta;Casi nuevo;4;3;188;No;Centro;3;190000000
Casa;3;Venta;Nuevo;2;2;156;Si;Norte;4;260000000
Casa;1;Venta;Casi nuevo;2;3;265;Si;Sur;1;150000000
Casa;3;Venta;Nuevo;4;1;250;Si;Centro;4;220000000
Casa;3;Venta;Casi nuevo;3;2;225;Si;Centro;3;210000000
Casa;3;Venta;Nuevo;4;1;253;No;Norte;5;260000000
Casa;1;Venta;Casi nuevo;4;1;215;No;Norte;4;230000000
Casa;2;Venta;Casi nuevo;4;3;182;Si;Norte;6;250000000
Casa;1;Venta;Nuevo;4;2;256;No;Norte;3;260000000
Casa;1;Venta;Casi nuevo;4;1;155;No;Sur;3;130000000
Casa;3;Venta;Casi nuevo;4;2;202;No;Centro;4;190000000
Casa;3;Venta;Nuevo;1;2;160;Si;Sur;3;160000000
Casa;3;Venta;Nuevo;2;3;230;Si;Centro;4;220000000
Casa;2;Venta;Nuevo;3;3;251;No;Norte;4;260000000
Casa;1;Venta;Nuevo;3;1;230;No;Centro;3;200000000
Casa;1;Venta;Casi nuevo;4;1;269;No;Sur;4;150000000
Casa;2;Venta;Casi nuevo;3;2;212;Si;Sur;4;160000000
Casa;1;Venta;Casi nuevo;1;2;243;Si;Centro;3;200000000
Casa;3;Venta;Casi nuevo;2;2;240;Si;Norte;4;260000000
Casa;2;Venta;Casi nuevo;3;2;262;Si;Centro;4;210000000
Casa;3;Venta;Casi nuevo;4;3;223;Si;Norte;5;260000000
Casa;3;Venta;Casi nuevo;2;3;242;No;Norte;5;250000000
Casa;1;Venta;Casi nuevo;4;1;203;No;Norte;6;230000000
Casa;3;Venta;Casi nuevo;2;3;165;Si;Norte;6;250000000
Casa;3;Venta;Casi nuevo;4;1;274;Si;Sur;1;160000000
Casa;1;Venta;Nuevo;4;1;266;Si;Centro;4;210000000
Casa;2;Venta;Casi nuevo;1;2;199;Si;Centro;4;200000000
Casa;2;Venta;Nuevo;1;3;257;Si;Sur;1;170000000
Casa;3;Venta;Nuevo;4;2;205;Si;Centro;3;210000000
Casa;3;Venta;Casi nuevo;4;3;185;No;Norte;3;240000000
Casa;1;Venta;Nuevo;2;2;210;No;Centro;4;200000000
Casa;1;Venta;Casi nuevo;1;2;225;No;Centro;3;190000000
Casa;1;Venta;Casi nuevo;3;2;185;No;Centro;3;190000000
Casa;3;Venta;Nuevo;2;1;192;No;Norte;4;250000000
Casa;3;Venta;Nuevo;2;2;272;Si;Sur;2;170000000
Casa;1;Venta;Nuevo;3;2;202;Si;Centro;3;210000000
Casa;3;Venta;Nuevo;2;2;150;Si;Norte;3;260000000
Casa;2;Venta;Casi nuevo;2;2;232;Si;Centro;3;210000000
Casa;2;Venta;Nuevo;4;1;205;Si;Norte;6;260000000
Casa;1;Venta;Casi nuevo;1;2;165;Si;Sur;1;140000000
Casa;2;Venta;Casi nuevo;4;3;245;Si;Sur;4;160000000
Casa;2;Venta;Casi nuevo;2;2;178;Si;Sur;2;150000000
Casa;1;Venta;Casi nuevo;3;1;193;No;Sur;4;140000000
Casa;3;Venta;Nuevo;3;3;200;No;Sur;2;160000000
Casa;2;Venta;Casi nuevo;4;3;156;Si;Centro;3;200000000
Casa;3;Venta;Nuevo;3;2;191;No;Centro;4;200000000
Casa;1;Venta;Nuevo;2;1;178;Si;Centro;3;210000000
Casa;3;Venta;Nuevo;2;3;255;Si;Centro;3;220000000
Casa;2;Venta;Nuevo;3;2;201;Si;Centro;4;210000000
Casa;3;Venta;Casi nuevo;2;1;162;Si;Sur;2;150000000
Casa;3;Venta;Nuevo;4;3;226;Si;Centro;3;210000000
Casa;3;Venta;Casi nuevo;4;2;196;No;Centro;4;200000000
Casa;2;Venta;Nuevo;1;1;211;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;4;1;163;Si;Centro;4;210000000
Casa;3;Venta;Nuevo;2;2;180;No;Centro;3;210000000
Casa;2;Venta;Nuevo;1;3;207;No;Centro;3;200000000
Casa;3;Venta;Casi nuevo;4;3;234;No;Norte;3;250000000
Casa;1;Venta;Casi nuevo;2;1;165;No;Centro;4;180000000
Casa;3;Venta;Nuevo;2;1;244;Si;Norte;6;270000000
Casa;1;Venta;Nuevo;1;1;223;No;Norte;5;250000000
Casa;2;Venta;Nuevo;1;1;265;Si;Norte;5;260000000
Casa;3;Venta;Casi nuevo;3;1;268;No;Centro;3;200000000
Casa;3;Venta;Casi nuevo;1;2;254;No;Centro;3;200000000
Casa;1;Venta;Nuevo;3;2;195;No;Centro;3;200000000
Casa;2;Venta;Nuevo;3;2;215;Si;Sur;4;170000000
Casa;2;Venta;Casi nuevo;3;1;227;No;Sur;1;150000000
Casa;1;Venta;Nuevo;1;2;275;Si;Sur;3;160000000
Casa;3;Venta;Casi nuevo;1;2;204;Si;Norte;4;240000000
Casa;1;Venta;Casi nuevo;4;2;218;No;Centro;4;190000000
Casa;2;Venta;Casi nuevo;4;1;248;No;Sur;2;150000000
Casa;2;Venta;Casi nuevo;3;2;184;No;Norte;4;250000000
Casa;3;Venta;Nuevo;1;1;277;No;Sur;1;160000000
Casa;2;Venta;Nuevo;2;2;274;No;Sur;1;160000000
Casa;3;Venta;Casi nuevo;1;2;256;Si;Norte;5;260000000
Casa;3;Venta;Casi nuevo;4;1;182;Si;Norte;5;250000000
Casa;3;Venta;Nuevo;2;3;178;No;Norte;3;250000000
Casa;3;Venta;Nuevo;2;2;280;Si;Sur;1;170000000
Casa;2;Venta;Casi nuevo;1;3;214;Si;Sur;3;150000000
Casa;1;Venta;Nuevo;4;1;276;No;Sur;2;160000000
Casa;1;Venta;Nuevo;3;3;160;No;Sur;1;150000000
Casa;3;Venta;Casi nuevo;2;3;265;No;Norte;6;250000000
Casa;2;Venta;Nuevo;2;3;165;No;Centro;4;200000000
Casa;2;Venta;Nuevo;3;3;228;No;Norte;3;250000000
Casa;1;Venta;Casi nuevo;1;1;278;No;Centro;4;190000000
Casa;1;Venta;Nuevo;1;3;193;Si;Norte;5;250000000
Casa;2;Venta;Casi nuevo;1;2;187;Si;Sur;2;150000000
Casa;3;Venta;Casi nuevo;1;2;164;Si;Centro;3;200000000
Casa;3;Venta;Casi nuevo;2;2;276;Si;Sur;2;160000000
Casa;1;Venta;Casi nuevo;2;3;259;Si;Sur;4;160000000
Casa;1;Venta;Casi nuevo;3;3;248;No;Centro;4;200000000
Casa;2;Venta;Casi nuevo;2;3;251;Si;Centro;3;210000000
Casa;1;Venta;Casi nuevo;3;3;177;No;Centro;3;180000000
Casa;3;Venta;Casi nuevo;2;2;278;Si;Sur;4;160000000
Casa;2;Venta;Nuevo;1;2;203;No;Sur;4;140000000
Casa;1;Venta;Casi nuevo;1;2;202;No;Norte;4;230000000
Casa;1;Venta;Nuevo;3;1;180;Si;Centro;3;210000000
Casa;2;Venta;Casi nuevo;3;3;162;Si;Centro;3;200000000
Casa;1;Venta;Casi nuevo;4;3;270;Si;Sur;2;150000000
Casa;2;Venta;Casi nuevo;4;3;243;Si;Norte;3;260000000
Casa;3;Venta;Casi nuevo;3;3;218;No;Centro;4;200000000
Casa;3;Venta;Nuevo;2;2;166;Si;Sur;4;160000000
Casa;2;Venta;Casi nuevo;4;1;191;Si;Centro;3;200000000
Casa;3;Venta;Casi nuevo;4;2;266;Si;Centro;4;210000000
Casa;1;Venta;Casi nuevo;2;2;163;No;Sur;2;140000000
Casa;3;Venta;Casi nuevo;4;1;219;Si;Sur;4;150000000
Casa;3;Venta;Casi nuevo;1;2;208;Si;Norte;5;240000000
Casa;2;Venta;Casi nuevo;3;1;196;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;1;2;259;Si;Centro;4;210000000
Casa;1;Venta;Nuevo;3;1;224;No;Norte;3;250000000
Casa;1;Venta;Nuevo;2;1;173;No;Norte;4;240000000
Casa;3;Venta;Casi nuevo;3;1;258;No;Centro;3;200000000
Casa;3;Venta;Nuevo;4;1;181;No;Norte;6;250000000
Casa;1;Venta;Nuevo;1;1;265;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;2;3;196;No;Sur;2;150000000
Casa;2;Venta;Nuevo;3;1;180;No;Sur;2;150000000
Casa;1;Venta;Casi nuevo;1;3;210;Si;Sur;2;150000000
Casa;2;Venta;Nuevo;2;2;247;No;Centro;3;210000000
Casa;1;Venta;Nuevo;3;2;222;No;Sur;3;150000000
Casa;1;Venta;Nuevo;4;1;229;Si;Norte;3;260000000
Casa;2;Venta;Casi nuevo;2;3;206;No;Centro;3;190000000
Casa;3;Venta;Nuevo;4;2;256;Si;Sur;3;170000000
Casa;1;Venta;Casi nuevo;4;3;208;Si;Centro;3;200000000
Casa;2;Venta;Nuevo;3;3;153;No;Sur;4;150000000
Casa;3;Venta;Nuevo;3;3;240;Si;Norte;3;260000000
Casa;2;Venta;Casi nuevo;2;1;277;No;Centro;4;200000000
Casa;1;Venta;Nuevo;2;2;251;No;Sur;1;160000000
Casa;3;Venta;Casi nuevo;3;1;217;Si;Norte;5;260000000
Casa;2;Venta;Casi nuevo;1;3;257;Si;Norte;3;260000000
Casa;2;Venta;Nuevo;4;1;266;No;Norte;6;260000000
Casa;2;Venta;Nuevo;3;1;197;Si;Centro;3;220000000
Casa;3;Venta;Casi nuevo;3;2;244;No;Sur;4;150000000
Casa;1;Venta;Nuevo;4;1;185;Si;Norte;6;260000000
Casa;3;Venta;Casi nuevo;1;2;240;Si;Norte;4;250000000
Casa;1;Venta;Nuevo;2;3;241;No;Sur;4;160000000
Casa;2;Venta;Casi nuevo;4;1;251;No;Norte;6;250000000
Casa;1;Venta;Nuevo;1;1;181;Si;Sur;1;150000000
Casa;3;Venta;Nuevo;3;2;257;No;Sur;3;160000000
Casa;1;Venta;Nuevo;4;3;252;Si;Sur;1;170000000
Casa;3;Venta;Casi nuevo;4;2;183;Si;Centro;4;200000000
Casa;2;Venta;Nuevo;4;2;278;Si;Norte;3;270000000
Casa;1;Venta;Nuevo;4;1;230;No;Centro;3;200000000
Casa;1;Venta;Casi nuevo;3;1;232;Si;Centro;3;210000000
Casa;2;Venta;Nuevo;2;1;219;No;Sur;3;150000000
Casa;1;Venta;Nuevo;4;3;207;Si;Centro;3;210000000
Casa;1;Venta;Casi nuevo;1;3;201;Si;Norte;4;240000000
Casa;3;Venta;Casi nuevo;2;1;200;No;Centro;3;190000000
Casa;2;Venta;Casi nuevo;3;3;264;No;Centro;4;200000000
Casa;2;Venta;Casi nuevo;4;3;217;No;Sur;4;150000000
Casa;3;Venta;Casi nuevo;3;2;258;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;2;2;264;Si;Centro;4;220000000
Casa;3;Venta;Nuevo;2;1;273;Si;Norte;6;270000000
Casa;2;Venta;Casi nuevo;2;3;159;No;Sur;3;140000000
Casa;1;Venta;Casi nuevo;1;1;188;No;Norte;3;230000000
Casa;2;Venta;Nuevo;3;3;168;Si;Centro;3;210000000
Casa;2;Venta;Casi nuevo;3;2;158;Si;Centro;4;200000000
Casa;2;Venta;Casi nuevo;3;1;197;No;Centro;4;190000000
Casa;3;Venta;Casi nuevo;3;1;188;No;Norte;4;240000000
Casa;2;Venta;Nuevo;2;3;268;No;Sur;2;160000000
Casa;2;Venta;Casi nuevo;1;3;216;No;Centro;3;190000000
Casa;3;Venta;Nuevo;3;2;159;Si;Centro;4;210000000
Casa;3;Venta;Nuevo;3;3;178;Si;Sur;2;160000000
Casa;2;Venta;Nuevo;4;3;235;No;Centro;4;210000000
Casa;1;Venta;Nuevo;2;3;178;Si;Sur;4;160000000
Casa;2;Venta;Nuevo;3;2;238;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;3;2;206;Si;Centro;4;210000000
Casa;2;Venta;Casi nuevo;4;2;227;No;Centro;4;200000000
Casa;2;Venta;Casi nuevo;2;3;266;No;Sur;3;150000000
Casa;3;Venta;Casi nuevo;1;3;225;Si;Norte;6;250000000
Casa;3;Venta;Nuevo;4;2;210;Si;Centro;3;220000000
Casa;1;Venta;Nuevo;1;3;225;Si;Sur;2;160000000
Casa;2;Venta;Nuevo;4;1;265;No;Sur;3;160000000
Casa;1;Venta;Casi nuevo;1;2;203;No;Sur;1;130000000
Casa;2;Venta;Nuevo;2;2;165;No;Centro;3;200000000
Casa;2;Venta;Casi nuevo;2;3;177;No;Norte;6;240000000
Casa;2;Venta;Casi nuevo;2;3;240;Si;Sur;4;150000000
Casa;1;Venta;Casi nuevo;3;1;197;Si;Centro;4;200000000
Casa;3;Venta;Casi nuevo;4;1;169;No;Norte;5;240000000
Casa;1;Venta;Casi nuevo;4;3;211;No;Centro;4;190000000
Casa;2;Venta;Casi nuevo;4;2;186;Si;Centro;3;200000000
Casa;1;Venta;Nuevo;1;2;245;Si;Centro;3;200000000
Casa;1;Venta;Nuevo;3;3;262;No;Centro;4;210000000
Casa;3;Venta;Casi nuevo;4;1;248;No;Norte;4;250000000
Casa;3;Venta;Casi nuevo;1;2;211;Si;Centro;4;200000000
Casa;3;Venta;Casi nuevo;3;3;159;Si;Sur;1;150000000
Casa;1;Venta;Nuevo;1;3;152;Si;Norte;5;250000000
Casa;2;Venta;Nuevo;3;1;226;Si;Centro;3;210000000
Casa;1;Venta;Nuevo;3;3;206;No;Sur;1;150000000
Casa;3;Venta;Nuevo;1;2;198;Si;Norte;3;250000000
Casa;2;Venta;Casi nuevo;4;2;167;Si;Sur;4;150000000
Casa;2;Venta;Nuevo;2;3;180;No;Centro;4;200000000
Casa;3;Venta;Casi nuevo;4;1;185;No;Sur;3;140000000
Casa;1;Venta;Casi nuevo;3;2;258;No;Norte;4;250000000
Casa;2;Venta;Nuevo;4;1;150;No;Norte;4;250000000
Casa;1;Venta;Casi nuevo;4;1;275;No;Centro;3;200000000
Casa;1;Venta;Nuevo;4;3;274;No;Norte;5;260000000
Casa;1;Venta;Nuevo;2;2;177;Si;Sur;2;160000000
Casa;2;Venta;Casi nuevo;1;1;169;Si;Sur;1;150000000
Casa;2;Venta;Nuevo;1;1;155;Si;Norte;5;250000000
Casa;1;Venta;Casi nuevo;2;2;158;No;Norte;4;240000000
Casa;1;Venta;Nuevo;1;1;159;No;Norte;6;240000000
Casa;1;Venta;Nuevo;4;2;252;No;Centro;3;200000000
Casa;1;Venta;Casi nuevo;2;1;249;No;Norte;6;250000000
Casa;1;Venta;Nuevo;2;1;262;No;Centro;4;210000000
Casa;3;Venta;Casi nuevo;2;1;153;No;Norte;4;240000000
Casa;1;Venta;Nuevo;4;2;234;No;Centro;3;200000000
Casa;1;Venta;Nuevo;3;2;262;No;Norte;6;250000000
Casa;2;Venta;Casi nuevo;3;2;202;No;Norte;5;250000000
Casa;2;Venta;Nuevo;1;3;172;No;Norte;5;250000000
Casa;3;Venta;Nuevo;4;3;173;No;Norte;4;250000000
Casa;2;Venta;Nuevo;1;1;206;No;Sur;2;150000000
Casa;2;Venta;Casi nuevo;3;3;242;No;Norte;4;240000000
Casa;2;Venta;Casi nuevo;1;1;218;No;Norte;4;240000000
Casa;1;Venta;Casi nuevo;3;2;198;No;Norte;4;240000000
Casa;1;Venta;Casi nuevo;1;3;241;No;Centro;4;190000000
Casa;3;Venta;Nuevo;1;1;197;No;Norte;6;250000000
Casa;3;Venta;Casi nuevo;4;3;197;No;Sur;1;150000000
Casa;2;Venta;Casi nuevo;1;1;222;No;Sur;1;140000000
Casa;2;Venta;Nuevo;4;2;163;No;Sur;3;150000000
Casa;2;Venta;Nuevo;3;1;169;No;Sur;4;150000000
Casa;1;Venta;Nuevo;2;1;181;No;Sur;1;140000000
Casa;3;Venta;Nuevo;1;2;177;No;Norte;4;240000000
Casa;3;Venta;Nuevo;4;1;194;Si;Centro;4;210000000
Casa;1;Venta;Nuevo;4;2;211;No;Centro;4;200000000
Casa;1;Venta;Casi nuevo;4;1;156;No;Sur;3;130000000
Casa;1;Venta;Casi nuevo;4;1;278;Si;Norte;6;250000000
Casa;2;Venta;Casi nuevo;1;3;186;Si;Sur;2;150000000
Casa;3;Venta;Nuevo;1;2;262;Si;Centro;3;220000000
Casa;2;Venta;Casi nuevo;3;1;191;No;Sur;2;150000000
Casa;1;Venta;Casi nuevo;4;2;196;No;Sur;2;140000000
Casa;3;Venta;Casi nuevo;2;2;238;Si;Norte;5;250000000
Casa;2;Venta;Casi nuevo;3;1;165;No;Centro;4;190000000
