tipo_vivienda;niveles;tipo_contrato;area_construida;estado;num_habitaciones;num_banos;parqueadero;sector;estrato;precio
Casa;2;Arriendo;221;Casi nuevo;4;2;No;Sur;3;3120000
Casa;3;Arriendo;253;Nuevo;4;3;No;Sur;1;4060000
Casa;2;Arriendo;134;Casi nuevo;4;2;No;Sur;4;1820000
Casa;3;Arriendo;70;Casi nuevo;5;3;No;Sur;1;1700000
Casa;1;Arriendo;106;Casi nuevo;3;2;No;Sur;4;1030000
Casa;2;Arriendo;271;Nuevo;4;2;Si;Centro;3;5510000
Casa;3;Arriendo;119;Nuevo;4;3;Si;Norte;6;4860000
Casa;2;Arriendo;150;Casi nuevo;4;2;No;Sur;2;1990000
Casa;3;Arriendo;271;Nuevo;4;3;Si;Norte;4;5210000
Casa;3;Arriendo;227;Casi nuevo;4;3;No;Norte;4;3580000
Casa;2;Arriendo;254;Casi nuevo;4;2;Si;Sur;1;4050000
Casa;1;Arriendo;150;Nuevo;3;2;No;Centro;4;2280000
Casa;2;Arriendo;80;Nuevo;4;2;No;Centro;3;2180000
Casa;2;Arriendo;149;Nuevo;4;2;No;Centro;4;2640000
Casa;2;Arriendo;260;Nuevo;4;2;Si;Centro;4;5000000
Casa;3;Arriendo;119;Casi nuevo;4;3;Si;Norte;3;2230000
Casa;3;Arriendo;109;Casi nuevo;4;3;No;Norte;4;1920000
Casa;1;Arriendo;140;Casi nuevo;3;2;Si;Sur;4;1740000
Casa;2;Arriendo;114;Casi nuevo;4;2;No;Centro;4;2210000
Casa;2;Arriendo;140;Nuevo;4;2;No;Norte;4;2170000
Casa;2;Arriendo;64;Nuevo;4;2;No;Sur;1;1550000
Casa;1;Arriendo;165;Nuevo;3;2;No;Norte;5;4370000
Casa;1;Arriendo;252;Casi nuevo;3;2;Si;Norte;3;4350000
Casa;2;Arriendo;284;Casi nuevo;4;2;No;Centro;3;5660000
Casa;3;Arriendo;102;Nuevo;4;3;Si;Sur;1;1620000
Casa;3;Arriendo;271;Casi nuevo;4;3;Si;Centro;3;5200000
Casa;1;Arriendo;110;Casi nuevo;3;2;No;Norte;6;3720000
Casa;3;Arriendo;81;Casi nuevo;4;3;Si;Sur;1;1840000
Casa;2;Arriendo;68;Casi nuevo;4;2;Si;Centro;4;2270000
Casa;3;Arriendo;163;Nuevo;4;3;No;Sur;3;2130000
Casa;3;Arriendo;81;Casi nuevo;4;3;Si;Centro;3;2460000
Casa;3;Arriendo;224;Nuevo;4;3;Si;Sur;4;3390000
Casa;3;Arriendo;218;Casi nuevo;4;3;Si;Norte;4;3760000
Casa;1;Arriendo;151;Nuevo;3;2;No;Norte;4;2090000
Casa;1;Arriendo;127;Nuevo;3;2;No;Norte;4;1830000
Casa;2;Arriendo;245;Nuevo;4;2;Si;Sur;4;3880000
Casa;2;Arriendo;242;Nuevo;4;2;Si;Norte;6;6540000
Casa;1;Arriendo;50;Nuevo;2;1;Si;Centro;4;1800000
Casa;1;Arriendo;127;Nuevo;3;2;Si;Centro;3;2220000
Casa;1;Arriendo;290;Casi nuevo;3;2;No;Centro;4;5520000
Casa;3;Arriendo;242;Nuevo;4;3;Si;Sur;2;4130000
Casa;3;Arriendo;172;Nuevo;4;3;No;Centro;3;2690000
Casa;2;Arriendo;132;Nuevo;4;2;No;Sur;3;1690000
Casa;3;Arriendo;238;Nuevo;4;3;No;Norte;3;3900000
Casa;3;Arriendo;141;Nuevo;4;3;Si;Centro;4;2970000
Casa;1;Arriendo;121;Nuevo;3;2;No;Sur;4;1510000
Casa;3;Arriendo;191;Casi nuevo;4;3;No;Centro;4;2850000
Casa;3;Arriendo;232;Casi nuevo;4;3;Si;Norte;3;3860000
Casa;1;Arriendo;121;Nuevo;3;2;Si;Norte;3;1860000
Casa;1;Arriendo;134;Casi nuevo;3;2;No;Sur;2;1370000
Casa;3;Arriendo;271;Casi nuevo;4;3;No;Centro;4;5310000
Casa;3;Arriendo;94;Nuevo;4;3;No;Centro;4;2360000
Casa;3;Arriendo;82;Casi nuevo;4;3;Si;Centro;3;2200000
Casa;2;Arriendo;250;Casi nuevo;4;2;Si;Sur;3;4000000
Casa;2;Arriendo;147;Nuevo;4;2;No;Centro;4;2680000
Casa;2;Arriendo;78;Nuevo;4;2;No;Norte;3;2130000
Casa;2;Arriendo;74;Nuevo;4;2;Si;Centro;3;2240000
Casa;2;Arriendo;96;Nuevo;4;2;Si;Centro;3;2410000
Casa;3;Arriendo;58;Casi nuevo;5;3;Si;Norte;6;4680000
Casa;1;Arriendo;245;Nuevo;3;2;No;Centro;3;4210000
Casa;2;Arriendo;286;Casi nuevo;4;2;Si;Sur;2;5240000
Casa;3;Arriendo;74;Nuevo;4;3;No;Norte;4;2110000
Casa;2;Arriendo;245;Nuevo;4;2;No;Centro;4;4620000
Casa;2;Arriendo;283;Nuevo;4;2;No;Centro;4;5740000
Casa;1;Arriendo;229;Casi nuevo;3;2;Si;Sur;2;3000000
Casa;3;Arriendo;123;Nuevo;4;3;No;Norte;4;2310000
Casa;3;Arriendo;74;Nuevo;4;3;Si;Sur;1;1860000
Casa;3;Arriendo;108;Nuevo;4;3;No;Sur;2;1650000
Casa;3;Arriendo;148;Casi nuevo;4;3;No;Sur;4;2180000
Casa;1;Arriendo;204;Casi nuevo;3;2;No;Centro;4;2920000
Casa;2;Arriendo;207;Casi nuevo;4;2;No;Norte;6;5290000
Casa;3;Arriendo;267;Casi nuevo;4;3;No;Sur;4;4520000
Casa;3;Arriendo;58;Casi nuevo;5;3;Si;Norte;6;4540000
Casa;1;Arriendo;88;Casi nuevo;3;2;No;Norte;3;1700000
Casa;1;Arriendo;131;Casi nuevo;3;2;No;Norte;6;4070000
Casa;3;Arriendo;123;Casi nuevo;4;3;No;Sur;4;1630000
Casa;2;Arriendo;108;Nuevo;4;2;No;Sur;3;1400000
Casa;3;Arriendo;232;Casi nuevo;4;3;No;Sur;3;3260000
Casa;3;Arriendo;118;Nuevo;4;3;No;Centro;3;2300000
Casa;2;Arriendo;187;Casi nuevo;4;2;Si;Centro;3;2850000
Casa;1;Arriendo;104;Casi nuevo;3;2;No;Norte;6;3970000
Casa;1;Arriendo;274;Nuevo;3;2;Si;Centro;4;5030000
Casa;3;Arriendo;60;Casi nuevo;5;3;No;Sur;1;1490000
Casa;3;Arriendo;89;Casi nuevo;4;3;No;Norte;6;4160000
Casa;2;Arriendo;136;Nuevo;4;2;No;Norte;3;2070000
Casa;3;Arriendo;208;Nuevo;4;3;Si;Centro;3;3660000
Casa;2;Arriendo;254;Nuevo;4;2;No;Centro;3;4590000
Casa;2;Arriendo;164;Casi nuevo;4;2;Si;Sur;2;2160000
Casa;1;Arriendo;55;Casi nuevo;2;1;Si;Sur;2;990000
Casa;3;Arriendo;94;Casi nuevo;4;3;No;Norte;3;1970000
Casa;2;Arriendo;205;Nuevo;4;2;Si;Sur;1;2680000
Casa;2;Arriendo;215;Nuevo;4;2;Si;Sur;1;2900000
Casa;2;Arriendo;120;Casi nuevo;4;2;No;Sur;1;1410000
Casa;1;Arriendo;76;Nuevo;3;2;No;Sur;4;1310000
Casa;1;Arriendo;235;Nuevo;3;2;No;Norte;5;6080000
Casa;2;Arriendo;160;Nuevo;4;2;Si;Norte;5;5190000
Casa;3;Arriendo;82;Casi nuevo;4;3;Si;Norte;4;2320000
Casa;1;Arriendo;102;Casi nuevo;3;2;Si;Norte;5;3940000
Casa;2;Arriendo;189;Nuevo;4;2;No;Centro;3;3030000
Casa;2;Arriendo;279;Casi nuevo;4;2;Si;Norte;5;7860000
Casa;3;Arriendo;157;Casi nuevo;4;3;Si;Norte;6;5150000
Casa;2;Arriendo;255;Nuevo;4;2;No;Norte;5;6820000
Casa;3;Arriendo;221;Casi nuevo;4;3;Si;Centro;3;3830000
Casa;3;Arriendo;139;Casi nuevo;4;3;Si;Norte;5;4900000
Casa;2;Arriendo;58;Casi nuevo;4;2;Si;Norte;4;2280000
Casa;2;Arriendo;283;Casi nuevo;4;2;No;Sur;4;5010000
Casa;2;Arriendo;104;Nuevo;4;2;Si;Norte;3;2110000
Casa;3;Arriendo;107;Casi nuevo;4;3;Si;Centro;4;2370000
Casa;3;Arriendo;245;Casi nuevo;4;3;Si;Norte;3;4470000
Casa;3;Arriendo;250;Casi nuevo;4;3;No;Sur;4;3800000
Casa;3;Arriendo;226;Nuevo;4;3;No;Sur;3;3470000
Casa;1;Arriendo;255;Nuevo;3;2;Si;Norte;5;6730000
Casa;2;Arriendo;120;Nuevo;4;2;No;Centro;4;2140000
Casa;3;Arriendo;275;Casi nuevo;4;3;No;Norte;5;7450000
Casa;1;Arriendo;52;Nuevo;2;1;Si;Centro;4;1840000
Casa;1;Arriendo;88;Casi nuevo;3;2;Si;Centro;4;2000000
Casa;3;Arriendo;73;Casi nuevo;4;3;Si;Centro;4;2530000
Casa;1;Arriendo;77;Casi nuevo;3;2;Si;Sur;3;1470000
Casa;2;Arriendo;210;Nuevo;4;2;No;Sur;3;2770000
Casa;1;Arriendo;261;Casi nuevo;3;2;Si;Centro;3;4770000
Casa;2;Arriendo;114;Casi nuevo;4;2;Si;Sur;2;1820000
Casa;1;Arriendo;277;Casi nuevo;3;2;No;Centro;4;5150000
Casa;1;Arriendo;262;Casi nuevo;3;2;Si;Centro;3;4830000
Casa;2;Arriendo;260;Casi nuevo;4;2;Si;Norte;6;7010000
Casa;2;Arriendo;222;Casi nuevo;4;2;Si;Sur;4;3190000
Casa;1;Arriendo;155;Nuevo;3;2;No;Centro;3;2470000
Casa;3;Arriendo;253;Nuevo;4;3;No;Sur;2;4260000
Casa;3;Arriendo;214;Casi nuevo;4;3;Si;Norte;5;5700000
Casa;3;Arriendo;129;Nuevo;4;3;Si;Norte;3;2460000
Casa;1;Arriendo;195;Nuevo;3;2;No;Norte;6;4930000
Casa;2;Arriendo;282;Casi nuevo;4;2;No;Sur;1;4560000
Casa;3;Arriendo;233;Nuevo;4;3;No;Norte;5;6320000
Casa;1;Arriendo;220;Nuevo;3;2;Si;Centro;3;3410000
Casa;3;Arriendo;93;Nuevo;4;3;No;Sur;4;1510000
Casa;3;Arriendo;81;Casi nuevo;4;3;No;Sur;4;1600000
Casa;3;Arriendo;265;Casi nuevo;4;3;No;Centro;3;4920000
Casa;1;Arriendo;268;Casi nuevo;3;2;No;Norte;6;6970000
Casa;1;Arriendo;79;Nuevo;3;2;No;Centro;3;1770000
Casa;1;Arriendo;248;Nuevo;3;2;No;Sur;1;3350000
Casa;2;Arriendo;287;Nuevo;4;2;No;Sur;4;4940000
Casa;3;Arriendo;134;Nuevo;4;3;Si;Centro;4;2700000
Casa;3;Arriendo;123;Nuevo;4;3;Si;Centro;3;2710000
Casa;1;Arriendo;56;Nuevo;2;1;Si;Centro;3;1910000
Casa;3;Arriendo;178;Casi nuevo;4;3;Si;Centro;4;2950000
Casa;2;Arriendo;51;Casi nuevo;4;2;Si;Norte;4;2160000
Casa;2;Arriendo;79;Nuevo;4;2;Si;Centro;4;2480000
Casa;2;Arriendo;217;Casi nuevo;4;2;Si;Centro;3;3770000
Casa;3;Arriendo;60;Casi nuevo;5;3;No;Centro;3;2390000
Casa;1;Arriendo;169;Casi nuevo;3;2;Si;Sur;1;2020000
Casa;1;Arriendo;83;Nuevo;3;2;No;Norte;5;3850000
Casa;3;Arriendo;159;Casi nuevo;4;3;No;Sur;2;2160000
Casa;3;Arriendo;227;Casi nuevo;4;3;Si;Norte;4;3870000
Casa;2;Arriendo;239;Casi nuevo;4;2;Si;Norte;5;6290000
Casa;2;Arriendo;82;Casi nuevo;4;2;No;Norte;5;4170000
Casa;3;Arriendo;119;Casi nuevo;4;3;Si;Centro;3;2340000
Casa;1;Arriendo;288;Casi nuevo;3;2;Si;Norte;6;7720000
Casa;2;Arriendo;50;Nuevo;4;2;Si;Norte;6;4420000
Casa;1;Arriendo;93;Nuevo;3;2;Si;Norte;4;2050000
Casa;3;Arriendo;98;Nuevo;4;3;Si;Sur;4;1900000
Casa;1;Arriendo;66;Nuevo;2;1;No;Norte;4;1480000
Casa;3;Arriendo;249;Casi nuevo;4;3;Si;Centro;3;4780000
Casa;2;Arriendo;272;Nuevo;4;2;No;Sur;2;4710000
Casa;1;Arriendo;199;Casi nuevo;3;2;Si;Sur;3;2150000
Casa;3;Arriendo;115;Casi nuevo;4;3;Si;Sur;2;1610000
Casa;2;Arriendo;237;Nuevo;4;2;No;Sur;2;3610000
Casa;3;Arriendo;150;Casi nuevo;4;3;Si;Norte;6;4720000
Casa;3;Arriendo;158;Nuevo;4;3;Si;Norte;6;5160000
Casa;2;Arriendo;282;Nuevo;4;2;No;Centro;3;5560000
Casa;3;Arriendo;259;Casi nuevo;4;3;No;Norte;3;4510000
Casa;1;Arriendo;134;Nuevo;3;2;Si;Sur;4;1880000
Casa;3;Arriendo;232;Nuevo;4;3;Si;Sur;1;3710000
Casa;3;Arriendo;274;Casi nuevo;4;3;Si;Centro;3;5590000
Casa;2;Arriendo;185;Nuevo;4;2;Si;Sur;4;2720000
Casa;2;Arriendo;259;Nuevo;4;2;No;Norte;3;4610000
Casa;1;Arriendo;243;Casi nuevo;3;2;Si;Sur;3;3360000
Casa;2;Arriendo;217;Nuevo;4;2;Si;Centro;4;3710000
Casa;2;Arriendo;202;Nuevo;4;2;Si;Norte;6;5450000
Casa;3;Arriendo;184;Nuevo;4;3;Si;Centro;4;3170000
Casa;3;Arriendo;84;Casi nuevo;4;3;Si;Sur;2;1790000
Casa;2;Arriendo;76;Nuevo;4;2;No;Norte;3;2080000
Casa;2;Arriendo;196;Casi nuevo;4;2;Si;Centro;4;2980000
Casa;3;Arriendo;237;Nuevo;4;3;Si;Centro;4;4440000
Casa;3;Arriendo;126;Casi nuevo;4;3;Si;Norte;3;2220000
Casa;2;Arriendo;290;Casi nuevo;4;2;Si;Norte;4;5820000
Casa;2;Arriendo;166;Nuevo;4;2;No;Centro;4;2640000
Casa;3;Arriendo;149;Casi nuevo;4;3;No;Sur;2;2040000
Casa;2;Arriendo;214;Casi nuevo;4;2;No;Centro;4;3390000
Casa;1;Arriendo;119;Nuevo;3;2;No;Norte;5;4290000
Casa;2;Arriendo;71;Nuevo;4;2;No;Centro;3;2070000
Casa;3;Arriendo;79;Nuevo;4;3;No;Centro;3;2430000
Casa;3;Arriendo;144;Nuevo;4;3;No;Sur;2;1890000
Casa;2;Arriendo;64;Nuevo;4;2;Si;Norte;6;4300000
Casa;3;Arriendo;296;Nuevo;4;3;Si;Centro;4;6390000
Casa;2;Arriendo;291;Nuevo;4;2;Si;Centro;4;5880000
Casa;1;Arriendo;215;Casi nuevo;3;2;No;Centro;4;2990000
Casa;2;Arriendo;128;Nuevo;4;2;Si;Sur;4;2090000
Casa;3;Arriendo;189;Casi nuevo;4;3;No;Sur;3;2280000
Casa;2;Arriendo;142;Nuevo;4;2;Si;Centro;4;2560000
Casa;2;Arriendo;129;Nuevo;4;2;No;Sur;3;1710000
Casa;3;Arriendo;153;Nuevo;4;3;Si;Norte;4;2850000
Casa;1;Arriendo;106;Casi nuevo;3;2;No;Sur;3;1200000
Casa;1;Arriendo;240;Nuevo;3;2;No;Centro;3;3920000
Casa;2;Arriendo;113;Nuevo;4;2;No;Sur;2;1590000
Casa;3;Arriendo;98;Casi nuevo;4;3;Si;Sur;3;1900000
Casa;2;Arriendo;77;Nuevo;4;2;No;Sur;3;1740000
Casa;3;Arriendo;243;Casi nuevo;4;3;No;Norte;4;4340000
Casa;3;Arriendo;228;Casi nuevo;4;3;Si;Norte;6;6420000
Casa;3;Arriendo;61;Nuevo;5;3;Si;Norte;3;2500000
Casa;1;Arriendo;136;Casi nuevo;3;2;No;Centro;4;1950000
Casa;2;Arriendo;241;Casi nuevo;4;2;Si;Norte;4;4110000
Casa;2;Arriendo;133;Nuevo;4;2;No;Norte;5;4430000
Casa;1;Arriendo;273;Nuevo;3;2;Si;Centro;3;5060000
Casa;3;Arriendo;197;Nuevo;4;3;Si;Centro;4;3520000
Casa;3;Arriendo;70;Nuevo;5;3;Si;Norte;6;4810000
Casa;2;Arriendo;165;Casi nuevo;4;2;No;Centro;3;2730000
Casa;1;Arriendo;197;Casi nuevo;3;2;Si;Centro;4;2910000
Casa;1;Arriendo;259;Nuevo;3;2;No;Norte;4;4490000
Casa;1;Arriendo;109;Nuevo;3;2;No;Sur;3;1220000
Casa;1;Arriendo;95;Casi nuevo;3;2;No;Centro;4;1730000
Casa;3;Arriendo;291;Nuevo;4;3;Si;Norte;5;8090000
Casa;2;Arriendo;245;Casi nuevo;4;2;Si;Sur;3;3810000
Casa;2;Arriendo;166;Nuevo;4;2;No;Centro;3;2580000
Casa;3;Arriendo;208;Nuevo;4;3;Si;Sur;1;2790000
Casa;2;Arriendo;74;Casi nuevo;4;2;Si;Centro;4;2200000
Casa;1;Arriendo;250;Nuevo;3;2;Si;Sur;1;3710000
Casa;3;Arriendo;152;Casi nuevo;4;3;No;Sur;4;1840000
Casa;2;Arriendo;256;Nuevo;4;2;Si;Centro;3;4820000
Casa;2;Arriendo;109;Casi nuevo;4;2;No;Centro;4;2250000
Casa;3;Arriendo;133;Casi nuevo;4;3;No;Sur;1;1750000
Casa;3;Arriendo;221;Casi nuevo;4;3;No;Centro;4;3720000
Casa;1;Arriendo;253;Casi nuevo;3;2;Si;Centro;3;4580000
Casa;1;Arriendo;53;Casi nuevo;2;1;No;Norte;6;3580000
Casa;3;Arriendo;200;Casi nuevo;4;3;Si;Centro;3;3240000
Casa;3;Arriendo;289;Casi nuevo;4;3;No;Norte;3;5680000
Casa;3;Arriendo;99;Casi nuevo;4;3;Si;Norte;3;2190000
Casa;1;Arriendo;274;Casi nuevo;3;2;Si;Sur;3;4510000
Casa;2;Arriendo;240;Nuevo;4;2;Si;Sur;3;3830000
Casa;1;Arriendo;273;Casi nuevo;3;2;No;Centro;3;4860000
Casa;2;Arriendo;228;Nuevo;4;2;No;Sur;4;3350000
Casa;3;Arriendo;88;Casi nuevo;4;3;Si;Norte;4;2290000
Casa;2;Arriendo;238;Casi nuevo;4;2;No;Centro;4;4140000
Casa;3;Arriendo;284;Nuevo;4;3;Si;Centro;3;6040000
Casa;2;Arriendo;154;Nuevo;4;2;Si;Norte;5;4870000
Casa;3;Arriendo;273;Nuevo;4;3;No;Centro;4;5330000
Casa;1;Arriendo;151;Nuevo;3;2;Si;Sur;4;1720000
Casa;1;Arriendo;195;Casi nuevo;3;2;Si;Centro;4;2930000
Casa;2;Arriendo;250;Nuevo;4;2;No;Centro;4;4750000
Casa;3;Arriendo;111;Casi nuevo;4;3;No;Centro;3;1970000
Casa;1;Arriendo;75;Nuevo;3;2;Si;Sur;3;1400000
Casa;2;Arriendo;138;Nuevo;4;2;Si;Centro;3;2560000
Casa;2;Arriendo;64;Nuevo;4;2;Si;Centro;3;2440000
Casa;2;Arriendo;55;Nuevo;4;2;No;Centro;4;2230000
Casa;2;Arriendo;283;Nuevo;4;2;No;Norte;4;5400000
Casa;3;Arriendo;169;Nuevo;4;3;Si;Centro;4;3050000
Casa;2;Arriendo;149;Nuevo;4;2;No;Norte;3;2170000
Casa;3;Arriendo;91;Nuevo;4;3;No;Norte;5;4300000
Casa;1;Arriendo;268;Casi nuevo;3;2;Si;Norte;5;7100000
Casa;3;Arriendo;243;Nuevo;4;3;Si;Sur;3;3880000
Casa;2;Arriendo;142;Nuevo;4;2;Si;Centro;4;2740000
Casa;1;Arriendo;229;Nuevo;3;2;Si;Sur;4;3180000
Casa;3;Arriendo;147;Casi nuevo;4;3;No;Norte;4;2400000
Casa;2;Arriendo;146;Casi nuevo;4;2;No;Centro;3;2330000
Casa;1;Arriendo;63;Casi nuevo;2;1;No;Sur;2;1090000
Casa;2;Arriendo;238;Casi nuevo;4;2;No;Centro;3;4150000
Casa;1;Arriendo;249;Casi nuevo;3;2;No;Norte;5;6080000
Casa;1;Arriendo;81;Casi nuevo;3;2;No;Centro;4;1630000
Casa;2;Arriendo;238;Casi nuevo;4;2;No;Norte;4;3830000
Casa;2;Arriendo;159;Casi nuevo;4;2;Si;Centro;4;2880000
Casa;3;Arriendo;215;Nuevo;4;3;No;Norte;3;3430000
Casa;3;Arriendo;65;Nuevo;5;3;No;Sur;3;1600000
Casa;1;Arriendo;217;Nuevo;3;2;No;Centro;4;3200000
Casa;2;Arriendo;173;Casi nuevo;4;2;Si;Centro;3;2690000
Casa;1;Arriendo;71;Nuevo;3;2;No;Norte;5;3850000
Casa;3;Arriendo;287;Nuevo;4;3;No;Centro;4;5780000
Casa;2;Arriendo;118;Casi nuevo;4;2;Si;Centro;3;2450000
Casa;2;Arriendo;108;Casi nuevo;4;2;Si;Centro;4;2300000
Casa;2;Arriendo;171;Nuevo;4;2;Si;Norte;5;5150000
Casa;1;Arriendo;287;Nuevo;3;2;No;Sur;4;4880000
Casa;2;Arriendo;130;Nuevo;4;2;No;Sur;1;1780000
Casa;3;Arriendo;166;Casi nuevo;4;3;Si;Sur;2;2310000
Casa;1;Arriendo;228;Nuevo;3;2;Si;Norte;4;3710000
Casa;1;Arriendo;172;Nuevo;3;2;Si;Centro;4;2590000
Casa;2;Arriendo;151;Casi nuevo;4;2;Si;Centro;4;2820000
Casa;3;Arriendo;270;Nuevo;4;3;No;Sur;2;4650000
Casa;2;Arriendo;72;Nuevo;4;2;Si;Sur;4;1670000
Casa;2;Arriendo;231;Casi nuevo;4;2;Si;Norte;5;6210000
Casa;2;Arriendo;114;Casi nuevo;4;2;Si;Norte;6;4520000
Casa;2;Arriendo;146;Nuevo;4;2;No;Norte;6;4550000
Casa;3;Arriendo;74;Casi nuevo;4;3;No;Norte;6;4250000
Casa;1;Arriendo;128;Casi nuevo;3;2;Si;Sur;1;1390000
Casa;2;Arriendo;206;Casi nuevo;4;2;Si;Sur;1;2440000
Casa;2;Arriendo;93;Nuevo;4;2;Si;Norte;6;4360000
Casa;2;Arriendo;252;Nuevo;4;2;Si;Sur;4;4170000
Casa;1;Arriendo;120;Casi nuevo;3;2;No;Norte;4;1500000
Casa;1;Arriendo;258;Nuevo;3;2;No;Norte;4;4180000
Casa;2;Arriendo;217;Nuevo;4;2;No;Sur;4;2970000
Casa;2;Arriendo;248;Casi nuevo;4;2;Si;Norte;4;4430000
Casa;1;Arriendo;273;Casi nuevo;3;2;Si;Sur;1;4360000
Casa;3;Arriendo;200;Casi nuevo;4;3;Si;Centro;3;3370000
Casa;1;Arriendo;153;Casi nuevo;3;2;No;Sur;4;1580000
Casa;3;Arriendo;92;Nuevo;4;3;Si;Centro;4;2670000
Casa;2;Arriendo;271;Nuevo;4;2;Si;Centro;4;5620000
Casa;2;Arriendo;153;Nuevo;4;2;Si;Norte;3;2460000
Casa;2;Arriendo;276;Nuevo;4;2;Si;Centro;4;5700000
Casa;1;Arriendo;222;Nuevo;3;2;Si;Sur;3;2820000
Casa;1;Arriendo;142;Nuevo;3;2;Si;Norte;3;2190000
Casa;2;Arriendo;67;Nuevo;4;2;No;Sur;2;1570000
Casa;3;Arriendo;297;Nuevo;4;3;Si;Norte;6;8450000
